gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
919447013	http://vertnet.org/resources/norms.html		en	https://creativecommons.org/publicdomain/zero/1.0	2015-04-09		http://portal.vertnet.org/o/msu/mr?id=mr-2438		PhysicalObject	http://grbio.org/cool/53w1-8r3k	http://grbio.org/cool/qxfg-723q		MSU	MR			PreservedSpecimen				urn:catalog:MSU:MR:MR.2438	MR.2438	LCH45-23	Lloyd C. Hulbert					female						native			requires verification	present	skin | skull																							1945-06-29		180	180	1945	6	29											North and Central America | United States | Montana | Lewis and Clark County |  |  |  |	North America				United States	US	Montana	Lewis and Clark		Sec. 9, T20N, R10W	North and Central America | United States | Montana | Lewis and Clark County | Sec. 9, T20N, R10W												47.5019	-112.8801	NAD27	1164						decimal degrees							VertNet Georeferencing Guidelines																																							Spermophilus columbianus columbianus							Animalia | Chordata | Mammalia | Rodentia | Sciuridae | Spermophilus	Animalia	Chordata	Mammalia	Rodentia		Sciuridae				Spermophilus				columbianus	columbianus		subspecies				ICZN			
919446041	http://vertnet.org/resources/norms.html		en	https://creativecommons.org/publicdomain/zero/1.0	2015-04-09		http://portal.vertnet.org/o/msu/mr?id=mr-2434		PhysicalObject	http://grbio.org/cool/53w1-8r3k	http://grbio.org/cool/qxfg-723q		MSU	MR			PreservedSpecimen				urn:catalog:MSU:MR:MR.2434	MR.2434	LCH45-17	Lloyd C. Hulbert					male						native			requires verification	present	skin | skull																							1945-06-28		179	179	1945	6	28											North and Central America | United States | Montana | Lewis and Clark County |  |  |  |	North America				United States	US	Montana	Lewis and Clark		Sec. 9, T20N, R10W	North and Central America | United States | Montana | Lewis and Clark County | Sec. 9, T20N, R10W												47.5019	-112.8801	NAD27	1164						decimal degrees							VertNet Georeferencing Guidelines																																							Spermophilus columbianus columbianus							Animalia | Chordata | Mammalia | Rodentia | Sciuridae | Spermophilus	Animalia	Chordata	Mammalia	Rodentia		Sciuridae				Spermophilus				columbianus	columbianus		subspecies				ICZN			
919445037	http://vertnet.org/resources/norms.html		en	https://creativecommons.org/publicdomain/zero/1.0	2015-04-09		http://portal.vertnet.org/o/msu/mr?id=mr-2378		PhysicalObject	http://grbio.org/cool/53w1-8r3k	http://grbio.org/cool/qxfg-723q		MSU	MR			PreservedSpecimen				urn:catalog:MSU:MR:MR.2378	MR.2378		Ken Sandy					female						native			requires verification	present	skin | skull																							1956-07-29		211	211	1956	7	29											North and Central America | Canada | Alberta Province |  |  |  |  |	North America				Canada	CA	Alberta			Columbia Ice Field, Jasper National Park	North and Central America | Canada | Alberta Province | Columbia Ice Field, Jasper National Park												52.20222	-117.33333	NAD27	6086						decimal degrees							VertNet Georeferencing Guidelines		Measured from center of icefield on Alberta side																																					Spermophilus columbianus columbianus							Animalia | Chordata | Mammalia | Rodentia | Sciuridae | Spermophilus	Animalia	Chordata	Mammalia	Rodentia		Sciuridae				Spermophilus				columbianus	columbianus		subspecies				ICZN			
919444769	http://vertnet.org/resources/norms.html		en	https://creativecommons.org/publicdomain/zero/1.0	2015-04-09		http://portal.vertnet.org/o/msu/mr?id=mr-2437		PhysicalObject	http://grbio.org/cool/53w1-8r3k	http://grbio.org/cool/qxfg-723q		MSU	MR			PreservedSpecimen				urn:catalog:MSU:MR:MR.2437	MR.2437	LCH45-22	Lloyd C. Hulbert					female						native			requires verification	present	skin | skull																							1945-06-29		180	180	1945	6	29											North and Central America | United States | Montana | Lewis and Clark County |  |  |  |	North America				United States	US	Montana	Lewis and Clark		Sec. 9, T20N, R10W	North and Central America | United States | Montana | Lewis and Clark County | Sec. 9, T20N, R10W												47.5019	-112.8801	NAD27	1164						decimal degrees							VertNet Georeferencing Guidelines																																							Spermophilus columbianus columbianus							Animalia | Chordata | Mammalia | Rodentia | Sciuridae | Spermophilus	Animalia	Chordata	Mammalia	Rodentia		Sciuridae				Spermophilus				columbianus	columbianus		subspecies				ICZN			
919442886	http://vertnet.org/resources/norms.html		en	https://creativecommons.org/publicdomain/zero/1.0	2015-04-09		http://portal.vertnet.org/o/msu/mr?id=mr-2379		PhysicalObject	http://grbio.org/cool/53w1-8r3k	http://grbio.org/cool/qxfg-723q		MSU	MR			PreservedSpecimen				urn:catalog:MSU:MR:MR.2379	MR.2379		James Meehan					female						native			requires verification	present	skin | skull																							1956-07-29		211	211	1956	7	29											North and Central America | Canada | Alberta Province |  |  |  |  |	North America				Canada	CA	Alberta			Columbia Ice Field, Jasper National Park	North and Central America | Canada | Alberta Province | Columbia Ice Field, Jasper National Park												52.20222	-117.33333	NAD27	6086						decimal degrees							VertNet Georeferencing Guidelines		Measured from center of icefield on Alberta side																																					Spermophilus columbianus columbianus							Animalia | Chordata | Mammalia | Rodentia | Sciuridae | Spermophilus	Animalia	Chordata	Mammalia	Rodentia		Sciuridae				Spermophilus				columbianus	columbianus		subspecies				ICZN			
919436011	http://vertnet.org/resources/norms.html		en	https://creativecommons.org/publicdomain/zero/1.0	2015-04-09		http://portal.vertnet.org/o/msu/mr?id=mr-3910		PhysicalObject	http://grbio.org/cool/53w1-8r3k	http://grbio.org/cool/qxfg-723q		MSU	MR			PreservedSpecimen				urn:catalog:MSU:MR:MR.3910	MR.3910	8	Albert Berish					female						native			requires verification	present	skull, skin																							1958-07-17		198	198	1958	7	17											North and Central America | United States | Montana | Lewis and Clark County |  |  |  |	North America				United States	US	Montana	Lewis and Clark		Bear Lake	North and Central America | United States | Montana | Lewis and Clark County | Bear Lake												47.6227	-112.9929	NAD27	187						decimal degrees							VertNet Georeferencing Guidelines																																							Spermophilus columbianus columbianus							Animalia | Chordata | Mammalia | Rodentia | Sciuridae | Spermophilus	Animalia	Chordata	Mammalia	Rodentia		Sciuridae				Spermophilus				columbianus	columbianus		subspecies				ICZN			
919435979	http://vertnet.org/resources/norms.html		en	https://creativecommons.org/publicdomain/zero/1.0	2015-04-09		http://portal.vertnet.org/o/msu/mr?id=mr-3909		PhysicalObject	http://grbio.org/cool/53w1-8r3k	http://grbio.org/cool/qxfg-723q		MSU	MR			PreservedSpecimen				urn:catalog:MSU:MR:MR.3909	MR.3909	6	John R. Paul					female						native			requires verification	present	skull, skin																							1958-07-13		194	194	1958	7	13											North and Central America | United States | Montana | Lewis and Clark County |  |  |  |	North America				United States	US	Montana	Lewis and Clark		Bear Lake	North and Central America | United States | Montana | Lewis and Clark County | Bear Lake												47.6227	-112.9929	NAD27	187						decimal degrees							VertNet Georeferencing Guidelines																																							Spermophilus columbianus columbianus							Animalia | Chordata | Mammalia | Rodentia | Sciuridae | Spermophilus	Animalia	Chordata	Mammalia	Rodentia		Sciuridae				Spermophilus				columbianus	columbianus		subspecies				ICZN			
919430790	http://vertnet.org/resources/norms.html		en	https://creativecommons.org/publicdomain/zero/1.0	2015-04-09		http://portal.vertnet.org/o/msu/mr?id=mr-2433		PhysicalObject	http://grbio.org/cool/53w1-8r3k	http://grbio.org/cool/qxfg-723q		MSU	MR			PreservedSpecimen				urn:catalog:MSU:MR:MR.2433	MR.2433	RHM992	R. H. Manville					male						native			requires verification	present	skin																							1954-06-25		176	176	1954	6	25											North and Central America | United States | Montana | Glacier County |  |  |  |	North America				United States	US	Montana	Glacier		2 mi. SE Babb	North and Central America | United States | Montana | Glacier County | 2 mi. SE Babb												48.8321	-113.3927	NAD27	6463						decimal degrees							VertNet Georeferencing Guidelines																																							Spermophilus columbianus columbianus							Animalia | Chordata | Mammalia | Rodentia | Sciuridae | Spermophilus	Animalia	Chordata	Mammalia	Rodentia		Sciuridae				Spermophilus				columbianus	columbianus		subspecies				ICZN			
919427812	http://vertnet.org/resources/norms.html		en	https://creativecommons.org/publicdomain/zero/1.0	2015-04-09		http://portal.vertnet.org/o/msu/mr?id=mr-2377		PhysicalObject	http://grbio.org/cool/53w1-8r3k	http://grbio.org/cool/qxfg-723q		MSU	MR			PreservedSpecimen				urn:catalog:MSU:MR:MR.2377	MR.2377		Dick Mackie					female						native			requires verification	present	skull, skin																							1956-07-22		204	204	1956	7	22											North and Central America | Canada | Alberta Province |  |  |  |  |	North America				Canada	CA	Alberta			Amethyst Lake, Jasper National Park	North and Central America | Canada | Alberta Province | Amethyst Lake, Jasper National Park												52.69778	-118.275	NAD27	2586						decimal degrees							VertNet Georeferencing Guidelines		Measured from center of lake																																					Spermophilus columbianus columbianus							Animalia | Chordata | Mammalia | Rodentia | Sciuridae | Spermophilus	Animalia	Chordata	Mammalia	Rodentia		Sciuridae				Spermophilus				columbianus	columbianus		subspecies				ICZN			
919427537	http://vertnet.org/resources/norms.html		en	https://creativecommons.org/publicdomain/zero/1.0	2015-04-09		http://portal.vertnet.org/o/msu/mr?id=mr-3908		PhysicalObject	http://grbio.org/cool/53w1-8r3k	http://grbio.org/cool/qxfg-723q		MSU	MR			PreservedSpecimen				urn:catalog:MSU:MR:MR.3908	MR.3908	4	R. P. Northrup					female						native			requires verification	present	skin | skull																							1958-07-12		193	193	1958	7	12											North and Central America | United States | Montana | Lewis and Clark County |  |  |  |	North America				United States	US	Montana	Lewis and Clark		Bear Lake	North and Central America | United States | Montana | Lewis and Clark County | Bear Lake												47.6227	-112.9929	NAD27	187						decimal degrees							VertNet Georeferencing Guidelines																																							Spermophilus columbianus columbianus							Animalia | Chordata | Mammalia | Rodentia | Sciuridae | Spermophilus	Animalia	Chordata	Mammalia	Rodentia		Sciuridae				Spermophilus				columbianus	columbianus		subspecies				ICZN			
