"gbifID","license","species","basisOfRecord","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","year","month","day","countryCode","stateProvince","county","locality","verbatimLocality","institutionCode","recordedBy","references"
4947659863,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.585814,46.020281,3754,1983,3,22,"US","Washington","Walla Walla County","4 km S of Lowden","4 km S of Lowden, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24851"
4947659840,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,4,26,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24909"
4947659773,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.502458,48.43685,1807,1995,7,4,"US","Washington","Stevens County","Calispell Peak, Selkirk Mtns","Calispell Peak at 6700 ft, Selkirk Mtns, T34N R42E Sec 21, Stevens Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8351"
4947659492,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.273998,48.532318,66268,1994,6,19,"US","Washington","Pend Oreille County","No specific locality recorded.","Rub Reg 3, T35N, R42E, sec. 3, Pend Oreille Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:22988"
4947659409,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,5,14,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:25016"
4947659240,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.273998,48.532318,66268,1994,6,23,"US","Washington","Pend Oreille County","No specific locality recorded.","Rub Reg 3, T35N, R42E, sec. 3, Pend Oreille Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:22978"
4947659221,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-116.868614,46.920119,90,1985,4,4,"US","Idaho","Latah County","Gold Creek Ranch, 1 mi E of Potlach on Hwy. 6","Gold Creek Ranch, 1 mi E of Potlach on Hwy. 6, Latah Co., Idaho","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8607"
4947659210,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.603228,48.881317,3062,1995,7,5,"US","Washington","Ferry County","3.5 mi W, 1.3 mi N of Sherman Pass, Kettle River Range","3.5 mi W, 1.3 mi N of Sherman Pass, 4100ft, T36N R34E S9, Kettle River Range, Ferry Co, Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8361"
4947659187,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-116.868614,46.920119,90,1985,4,2,"US","Idaho","Latah County","Gold Creek Ranch, 1 mi E of Potlach on Hwy. 6","Gold Creek Ranch, 1 mi E of Potlach on Hwy. 6, Latah Co., Idaho","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8582"
4947659182,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.179616,46.731274,5639,1978,6,15,"US","Washington","Whitman County","Pullman","Pullman, elev. 2500 ft, Whitman Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8451"
